"exposure","mediator","mediator_id","nsnp1","b1","se1","p1","nsnp2","b2","se2","p2","b_total","se_total","prop_mediated","prop_se","prop_p","prop_fdr","step2_fdr"
"CD","Neutrophil_count","ebi-a-GCST90002398",79,0.0121846419717077,0.00915113243790962,0.183027810174039,269,0.0722212169874215,0.270414937931932,0.789410995982371,0.213176855902649,0.0826428103531949,0.00412797940952187,0.0157640899737591,0.793429633037328,0.793429633037328,0.789410995982371
"CD","Neutrophil_pct","ebi-a-GCST90002399",79,0.016391072782819,0.00819327489483923,0.0454406867422659,242,0.453850780896293,0.288635217219082,0.115857199730406,0.213176855902649,0.0826428103531949,0.0348963828681644,0.0282276827881292,0.216366834844988,0.793429633037328,0.433417397990898
"CD","Monocyte_pct","ebi-a-GCST90002394",79,-0.0197174133842552,0.0137218184379234,0.15073538256366,277,0.0798564296093376,0.225762781995711,0.723549999548632,0.213176855902649,0.0826428103531949,-0.00738617814457795,0.0215048825392565,0.731248538948426,0.793429633037328,0.789410995982371
"CD","WBC_count","ebi-a-GCST90002407",79,0.00653442087176406,0.0102584433452208,0.524138021606771,345,0.264545662136041,0.234886138072814,0.260050438794539,0.213176855902649,0.0826428103531949,0.00810900737266622,0.0146253603473084,0.579272022827156,0.793429633037328,0.433417397990898
"CD","Platelet_count","ebi-a-GCST90002402",79,0.00602020764839412,0.00775384002615081,0.437503233772002,388,-0.220387078767905,0.18127092478946,0.224065557404228,0.213176855902649,0.0826428103531949,-0.00622382749566245,0.009511240687328,0.512876374336036,0.793429633037328,0.433417397990898
