probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7952396,-0.0999,-0.0482,-0.1358
7952398,0.0253,-0.0072,-0.0989
7952400,0.0265,-0.0046,-0.0669
7952402,-0.0357,-0.1002,-0.0993
7952404,0.0009,0.0594,0.0594
7952406,-0.1313,-0.1061,-0.1204
7952408,0.0627,-0.5433,-0.3078
7952426,0.4566,-0.6159,-0.4691
7952436,0.1982,0.5209,0.5102
7952445,-0.0549,0.0745,0.0633
7952451,0.0876,-0.1275,-0.2509
7952453,0.2411,0.3423,0.3611
7952475,-0.0635,-0.0221,-0.0423
7952484,0.1449,0.0834,0.0632
7952488,-0.03,-0.0865,0.0231
7952490,0.1584,0.7084,0.5578
7952503,-0.0274,-0.0649,-0.0301
7952517,-0.0873,-0.0569,-0.0697
7952522,0.2499,0.2294,0.0894
7952526,0.0004,-0.0482,-0.1501
7952549,0.0235,0.1023,0.0566
7952557,0.0222,0.4348,0.3081
7952577,-0.0513,-0.0734,-0.138
7952599,-0.0881,-0.0904,-0.1227
7952601,0.1334,0.9483,0.7941
7952617,-0.0435,0.0443,-0.0001
7952626,-0.041,-0.0886,-0.0864
7952631,0.0296,-0.0857,-0.1421
7952641,0.0685,-0.4269,-0.3063
7952671,0.1027,-0.0831,0.0077
7952673,-0.2103,-0.3246,-0.4599
7952675,-0.1332,-0.043,-0.1183
7952677,-0.0961,-0.0835,-0.0871
7952707,-0.0741,-0.3786,-0.4005
7952733,0.0418,-0.037,-0.0744
7952735,0.0152,-0.2348,-0.1931
7952737,-0.387,-0.0132,-0.068
7952739,-0.1674,-0.0728,-0.147
7952750,-0.0005,-0.1286,-0.1065
7952752,-0.0683,0.0731,-0.1346
7952766,-0.0632,-0.1489,-0.104
7952768,0.0277,-0.0216,0.0775
7952781,-0.0617,-0.0073,0.1285
7952785,-0.0433,0.0838,-0.0179
7952795,-0.3055,-0.0387,-0.0242
7952797,-0.1401,-0.0917,-0.085
7952805,-0.0948,0.0679,-0.0539
7952810,0.0041,0.1019,0.0946
7952813,-0.0138,0.0335,-0.0087
7952830,0.2359,0.0633,-0.0308
7952869,-0.0553,-0.2397,-0.2841
7952882,-0.0551,-0.1154,-0.0781
7952884,-0.0697,0.0855,0.0698
7952893,-0.0706,-0.0282,-0.0292
7952897,-0.0216,-0.0554,-0.0238
7952914,0.2048,-0.087,-0.0515
7952927,0.7719,-0.1289,-0.069
7952950,-0.0239,-0.0438,-0.0463
7952953,-0.0339,0.2943,0.2171
7952984,0.2084,0.3134,0.2285
7952986,0.0751,0.0914,0.0213
7952988,0.2909,0.2652,0.1913
7953012,0.0347,0.0834,0.0643
7953021,-0.3081,-0.3155,-0.1311
7953032,-0.0949,-0.0614,-0.0768
7953040,0.1175,0.4285,0.3757
7953094,-0.0543,0.0868,0.0894
7953098,-0.0751,-0.1264,-0.2717
7953100,-0.0675,-0.3347,-0.4008
7953111,0.0003,-0.3483,-0.3204
7953128,-0.24,-0.1599,-0.2284
7953130,0.1363,0.0243,-0.0966
7953135,0.2987,0.2689,0.1111
7953150,0.2846,0.4932,0.3355
7953166,0.1259,0.4897,0.6116
7953181,-0.0606,-0.0874,-0.0826
7953198,-0.004,0.1183,0.1369
7953200,0.523,0.5335,0.5222
7953211,0.3766,0.4997,0.3453
7953218,0.4185,0.2204,0.0251
7953229,0.1286,0.0763,-0.0135
7953243,0.1567,-0.3037,-0.1816
7953252,0.6193,0.2873,0.8484
7953264,-0.1283,-0.0049,-0.0028
7953274,-0.0953,0.0533,0.0148
7953278,-0.0758,-0.0587,-0.093
7953284,-0.039,0.1672,0.1084
7953291,0.2092,-0.5369,-0.4771
7953303,-0.6919,-1.0288,-0.7387
7953321,-0.2289,0.0795,0.1395
7953333,-0.1127,1.1845,1.1104
7953341,0.187,0.1286,0.034
7953351,0.2123,0.2732,0.3008
7953383,-0.0659,0.5209,0.5671
7953385,0.0743,0.1646,0.1773
7953390,-0.1195,-0.0222,-0.0548
7953395,-0.0014,0.0886,0.0936
7953409,-0.2765,0.1133,-0.1375
7953418,0.0675,0.2971,0.1963
7953428,0.2872,0.688,0.7909
7953442,0.0339,0.1112,0.1144
7953450,0.0883,0.1609,0.1477
7953469,-0.0159,0.2165,0.2008
7953483,0.0177,0.0158,-0.0481
7953508,-0.1196,-0.0204,-0.0263
7953516,0.044,-0.0085,-0.0649
7953518,0.1084,-0.0079,-0.0516
7953520,-0.1372,-0.0197,-0.0603
7953532,0.0629,0.5342,0.4306
7953547,0.0455,0.0261,0.0458
7953564,0.1058,0.1835,0.2162
7953569,-0.0438,0.1644,0.1664
7953590,-0.2179,-0.7958,-0.6761
7953592,-0.1271,-0.3487,-0.3483
7953594,0.031,0.0358,-0.0462
7953603,0.7536,1.5653,1.935
7953620,-0.0363,-0.1851,-0.2144
7953622,-0.0047,0.2576,0.2816
7953626,0.1644,0.7889,0.8654
7953651,-0.2283,-0.0078,-0.0233
7953665,0.0945,-0.1137,-0.0594
7953670,-0.1531,-0.1215,-0.2333
7953675,-0.0006,-0.1322,-0.1504
7953685,0.0153,-0.0321,-0.1202
7953687,-0.0006,0.1108,0.1493
7953689,-0.054,-0.1367,-0.1251
7953695,0.0414,-0.2602,-0.2902
7953697,-0.1075,-0.1286,-0.1322
7953699,-0.1077,0.0876,0.0414
7953715,-0.2547,0.1064,0.1189
7953723,0.503,0.6615,0.6802
7953733,0.1244,-0.0033,-0.0653
7953735,-0.0682,-0.0367,-0.1857
7953737,0.8774,0.8254,1.3841
7953747,-0.0733,-0.0768,-0.1141
7953749,0.4274,0.5335,0.6993
7953761,-0.0414,-0.0083,-0.0687
7953763,-0.0678,0.0533,0.0156
7953765,-0.3236,0.2295,0.2807
7953775,-0.0774,-0.1518,-0.1711
7953812,0.1484,0.4389,0.3238
7953835,-0.0411,0.3874,0.3101
7953844,-0.0146,0.1775,0.2543
7953871,-0.0589,-0.1804,-0.2014
7953873,-0.5367,0.4685,0.5631
7953878,-0.0234,0.697,0.6807
7953892,-0.0264,-0.1421,-0.2191
7953901,0.4123,0.3254,0.8132
7953914,0.0852,0.0079,0.0892
7953924,-0.0025,-0.1047,-0.1288
7953934,-0.0378,0.0059,-0.0045
7953936,-0.0671,-0.0821,-0.1903
7953943,-0.4584,-0.1975,-0.231
7953949,-0.0921,-0.027,0.1029
7953965,-0.1142,-0.0882,-0.0002
7953967,-0.0866,-0.0938,-0.0301
7953975,-0.0523,-0.0064,-0.025
7953977,0.0005,0.1325,0.1209
7953979,0.0727,-0.0303,-0.0942
7953981,0.1044,0.0155,0.1106
7953993,-0.1831,-0.5805,-0.4946
7954006,0.0864,-0.0264,-0.084
7954008,-0.1326,0.0405,0.0876
7954010,-0.0028,-0.051,-0.0317
7954012,-0.1162,-0.0494,-0.0176
7954021,-0.2275,-0.5465,-0.6075
7954029,-0.0003,0.0773,0.0598
7954036,0.043,0.0473,-0.0507
7954055,0.2699,0.3775,0.2737
7954061,-0.0113,-0.1138,-0.1121
7954063,-0.0574,-0.2281,-0.2678
7954065,-0.1004,0.287,-0.1047
7954071,-0.1932,-0.0742,-0.0608
7954077,-0.6112,0.2386,0.0638
7954090,-0.0259,-0.6582,-0.7823
7954098,-0.0906,-0.1426,-0.1829
7954100,0.0415,-0.1144,-0.0612
7954102,0.066,-0.0154,-0.1463
7954104,0.0492,0.0212,0.0009
7954124,-0.0857,-0.3059,-0.1295
7954132,0.0211,-0.0283,-0.0463
7954136,-0.0474,0.0178,0.0143
7954143,0.2304,-0.4272,-0.4381
7954173,0.2718,-0.0548,-0.2351
7954185,-0.4566,-0.5164,-0.4823
7954196,0.1746,-0.5679,-0.4017
7954206,0.0013,0.0019,-0.0827
7954208,0.1131,0.0156,-0.0692
7954240,-0.0275,-0.0574,-0.1238
7954243,-0.0202,-0.2393,-0.2522
7954245,0.3629,-0.2953,-0.3529
7954277,-0.1349,-0.2059,-0.1277
7954279,-0.0459,-0.0284,-0.1181
7954291,-0.085,0.0386,0.0319
7954293,-0.0853,-0.8324,-0.3801
7954310,0.2128,0.0334,0.099
7954312,-0.0982,-0.306,-0.3416
7954330,0.4544,2.2191,1.0075
7954344,0.0074,0.8815,0.2652
7954356,0.1335,0.319,0.1097
7954375,-0.0136,-0.0493,-0.0956
7954377,-0.0548,-0.0914,-0.1378
7954382,-0.4368,-0.6655,-0.5563
7954388,0.2916,0.525,0.427
7954398,-0.1279,-0.0078,-0.146
7954407,-0.0663,-0.532,-0.2705
7954419,0.1404,-0.8931,-0.4654
7954434,0.0142,0.0336,0.0228
7954436,-0.5389,0.2485,-0.0016
7954460,-0.1269,-0.1805,-0.1812
7954465,-0.1513,0.0188,-0.0839
7954469,0.2907,0.489,0.5194
7954481,0.1533,-0.2501,-0.387
7954488,-0.145,-0.0242,-0.0398
7954490,-0.005,-0.0316,-0.0205
7954492,0.0671,0.1135,0.061
7954503,0.1321,-0.1196,-0.2886
7954511,0.0961,-0.4803,-0.4154
7954527,0.7866,1.4859,1.1692
7954551,0.022,0.0438,0.0333
7954559,0.3416,0.2803,0.2601
7954589,0.246,-1.2649,-0.3418
7954591,0.1895,-0.1107,-0.0246
7954602,-0.0657,0.0137,0.0758
7954604,0.0046,-0.2314,-0.2122
7954613,-0.2389,-0.0344,-0.118
7954631,0.2387,-0.6268,-0.3778
7954645,0.3778,0.911,0.8484
7954653,0.1809,0.7625,0.8134
7954655,-0.059,0.1304,0.1835
7954690,-0.0827,-0.0434,-0.1178
7954692,0.0157,-0.0099,-0.0375
7954695,-0.1618,-0.0439,-0.0367
7954697,-0.1366,-0.077,-0.2393
7954699,-0.0112,-0.0216,-0.0117
7954701,-0.1969,-0.1742,-0.0585
7954711,0.0153,0.459,0.3436
7954717,0.1707,0.4288,0.2913
7954729,-0.1054,-0.2784,-0.3766
7954752,0.4077,-0.2522,-0.2731
7954775,0.0303,0.0538,0.0098
7954777,-0.1196,0.1777,0.0433
7954783,-0.0744,0.0533,-0.0346
7954785,-0.2008,-0.0113,-0.0402
7954787,0.1591,0.0655,0.0925
7954789,-0.1644,0.2023,0.094
7954794,-0.0533,-0.14,-0.2423
7954810,0.6497,1.1851,1.4349
7954864,-0.0615,-0.0317,-0.1071
7954899,-0.08,-0.1151,-0.2801
7954926,-0.0333,-0.0203,-0.1736
7954938,-0.0932,-0.1326,-0.1923
7954940,-0.0704,0.0125,-0.066
7954961,-0.0324,-0.1066,-0.1695
7954963,0.1601,0.2187,0.1687
7954965,0.0344,-0.0244,-0.0432
7954969,0.0247,-0.0948,0.0014
7954985,-0.2427,-0.4212,-0.4854
7954995,-0.0627,0.0079,0.0472
7954997,-0.3377,1.3665,0.6717
7955019,-0.1077,-0.0846,-0.1168
7955043,0.1822,0.236,0.342
7955045,-0.1666,0.4482,0.339
7955055,-0.3036,0.2274,0.1729
7955063,-0.2563,-0.0336,0.0758
7955074,-0.0005,0.0163,-0.049
7955076,-0.1331,0.1392,0.2339
7955078,0.1699,-0.109,-0.112
7955107,-0.0774,0.0309,0.0694
7955110,-0.0626,-0.1214,-0.0617
7955112,-0.015,-0.1225,-0.1154
7955117,0.0281,-0.0169,-0.0496
7955119,-0.0646,-0.0694,-0.1107
7955129,-0.0233,-0.0703,-0.0764
7955132,-0.1519,0.004,-0.0388
7955135,0.0071,-0.0498,-0.0606
7955140,0.0023,-0.0692,-0.1518
7955142,-0.1233,-0.4342,-0.3252
7955156,-0.0024,-0.2421,-0.1778
7955168,0.0325,-0.102,-0.1037
7955170,-0.1074,-0.0743,-0.055
7955179,0.0495,0.0979,-0.0149
7955184,-0.096,0.0988,0.216
7955195,0.3024,0.1591,0.2556
7955211,-0.3321,-0.4122,-0.3116
7955217,0.3891,0.6412,0.5728
7955231,-0.1979,-0.081,-0.0109
7955248,0.0736,0.0602,0.0654
7955250,0.1035,0.015,0.03
7955277,-0.2422,-0.2563,-0.1555
7955290,-0.1181,-0.033,-0.0272
7955297,0.3839,0.1688,-0.1613
7955305,-0.0215,-0.102,-0.0771
7955317,-0.0443,0.051,-0.1585
7955331,-0.254,0.0902,0.0092
7955348,-0.753,0.2399,-0.0677
7955358,-0.1602,-0.1583,-0.1626
7955361,0.337,0.1314,0.0494
7955376,0.1006,-0.0304,-0.1672
7955417,0.0298,-0.0602,-0.1057
7955419,-0.0037,-0.2326,-0.2365
7955421,-0.0062,-0.011,0.0032
7955423,0.0293,-0.0472,-0.0768
7955425,-0.2277,-0.4161,-0.4864
7955433,-0.0549,-0.0784,-0.117
7955441,-0.3026,-1.129,-0.6071
7955448,-0.0808,-0.0067,-0.11
7955450,-0.1261,-0.4263,-0.4115
7955462,0.0201,-0.0863,-0.0801
7955464,-0.2171,-0.2847,-0.2482
7955469,-0.2025,0.1143,-0.0258
7955502,-0.1656,-0.0757,0.2554
7955533,-0.1552,-0.1027,0.3318
7955535,-0.2299,-0.5315,-0.3932
7955551,-0.1127,-0.0751,-0.0389
7955562,0.7141,0.069,0.1541
7955578,0.0836,0.1808,0.1614
7955589,-0.0731,1.1681,0.7022
7955606,-0.0123,0.2428,0.1241
7955613,0.6315,0.8697,0.4721
7955624,-0.0289,-0.0428,-0.028
7955635,-0.0444,-0.0549,-0.1058
7955637,0.2828,0.0929,0.0072
7955646,-0.1051,-0.2343,-0.3721
7955663,0.2008,0.5403,0.4951
7955694,-0.127,0.143,0.0493
7955702,-1.3266,-0.0182,-0.0482
7955719,-0.067,-0.877,-0.8009
7955721,-0.1434,-0.1385,-0.0817
7955729,-0.2375,0.0896,0.1538
7955736,-0.2945,0.2176,0.2328
7955768,-0.1312,0.249,0.1497
7955777,-0.0957,0.0456,-0.0535
7955787,-0.0776,-0.1121,-0.0558
7955797,-0.095,-0.0321,-0.0169
7955810,-0.3231,-0.3443,-0.2064
7955817,-0.2036,0.1346,0.1065
7955829,0.0799,0.0437,-0.0317
7955845,-0.1768,-0.14,-0.1407
7955852,0.0241,-0.0134,-0.0168
7955855,-0.1945,-0.1325,-0.1123
7955858,-0.0747,-0.0328,0.0079
7955863,-0.0263,-0.0036,-0.0901
7955865,-0.0984,-0.0967,-0.0263
7955869,0.0122,-0.1799,-0.1517
7955873,0.2546,-0.1198,-0.0367
7955887,0.1926,-0.1385,-0.0228
7955890,0.228,0.1093,0.2698
7955896,-0.0041,0.2524,0.2436
7955906,0.1232,0.138,0.1906
7955908,0.0828,1.0793,1.1085
7955943,-0.0887,0.2178,0.1773
7955963,0.1565,0.2548,0.1943
7955974,0.0023,-0.0353,-0.0361
7955979,-0.0958,-0.1456,-0.224
7955981,-0.0312,-0.0792,-0.174
7955983,-0.0087,-0.0731,-0.1646
7955985,-0.0234,-0.0692,-0.1051
7955987,0.0162,-0.2167,-0.4087
7955989,-0.0168,-0.0957,-0.1805
7955991,-0.0325,0.0709,0.0001
7955993,-0.1136,-0.0502,-0.184
7955995,0.0482,-0.0857,-0.0573
7955997,0.0098,0.0417,0.0494
7955999,-0.0003,0.0084,-0.0357
7956001,-0.0073,-0.0598,-0.0899
7956003,-0.0876,-0.1343,-0.1326
7956005,-0.0889,-0.0082,-0.0663
7956007,-0.1763,0.0057,-0.0751
7956009,-0.6448,-1.2791,-0.9709
7956013,-0.2225,-0.5464,-0.5035
7956018,-0.5151,-0.7364,-0.3962
7956026,-0.0244,0.0821,0.0277
7956031,-0.0114,-0.088,0.0051
7956038,0.1391,-0.0756,-0.0295
7956044,-0.1035,0.1526,0.0847
7956046,-0.3871,-0.1064,-0.0936
7956076,0.2569,0.4316,0.28
7956088,-0.1046,-0.1695,-0.1049
7956097,-0.0968,-0.7945,-0.5368
7956105,0.0071,0.1151,0.086
7956114,-0.2616,-0.2317,-0.0803
7956120,-0.2996,-0.8888,-0.614
7956152,0.1729,0.1951,-0.0076
7956159,-0.0699,0.0519,0.0107
7956162,-0.1054,0.0122,-0.0014
7956166,0.3046,0.1634,0.0005
7956200,0.0459,0.0319,0.0404
7956211,0.167,-0.0929,-0.1154
7956220,-0.1055,-0.0569,-0.1279
7956229,-0.885,-1.3845,-0.8212
7956242,-0.1031,0.2677,0.2261
7956251,-0.0265,0.4036,0.0879
7956257,0.0558,-0.2903,-0.3396
7956261,0.6707,-0.1433,-0.1184
7956269,0.1942,-0.0552,-0.0783
7956271,0.1068,-0.0144,-0.2892
7956279,-0.0386,-0.0629,-0.0915
7956281,-0.0449,0.0167,-0.0067
7956285,0.0151,-0.0684,-0.0776
7956287,-0.3894,0.2589,0.1579
7956301,-0.0031,0.1945,0.4824
7956395,-0.0889,0.0559,0.0916
7956399,-0.0103,-0.0142,-0.0713
7956401,0.3029,0.4275,0.2796
7956417,-0.1012,0.0409,0.0999
7956419,0.0425,0.0333,0.0013
7956423,-0.0923,-0.0803,-0.1054
7956426,-0.0361,-0.1669,-0.1089
7956430,-0.0898,-0.0853,-0.1722
7956443,0.2227,0.5595,0.6123
7956470,-0.0812,-0.2377,-0.1165
7956488,-0.1396,0.0269,0.0153
7956522,-0.0809,0.0062,0.0055
7956524,-0.1201,-0.2586,-0.2011
7956539,0.0815,0.1126,0.1111
7956551,0.138,0.1746,0.1009
7956573,-0.0959,-0.0835,-0.039
7956593,-0.133,0.1126,0.206
7956613,-0.1077,-0.2037,-0.1756
7956623,-0.1711,0.0379,-0.0207
7956631,0.1114,0.0299,0.007
7956639,0.0369,-0.1612,-0.2593
7956648,-0.1674,-0.9738,-0.7178
7956658,0.4442,0.6204,0.5352
7956668,0.0607,0.0721,-0.0092
7956670,0.1484,0.1047,0.0609
7956697,0.1603,-0.069,0.025
7956737,-0.0454,0.0192,-0.0205
7956739,-0.0205,-0.025,-0.0884
7956741,-0.009,0.0269,-0.1255
7956743,0.0626,-0.006,-0.0679
7956747,-0.0087,-0.058,-0.0565
7956749,0.0874,-0.0669,-0.1286
7956759,-0.0074,-0.4822,-0.5288
7956783,-0.2094,0.0952,0.1135
7956785,0.3639,0.4421,0.3395
7956795,0.1153,0.0431,0.0672
7956819,0.0477,-0.3888,-0.416
7956826,0.4319,-0.187,-0.3617
7956838,0.0118,0.0165,0.0999
7956842,0.0229,-0.1116,-0.0725
7956856,0.1019,0.2572,0.1608
7956867,0.0191,-0.6828,-0.5532
7956876,0.1222,-0.0083,-0.1641
7956878,1.1581,1.964,1.8606
7956892,-0.0912,0.0478,0.0423
7956894,0.3629,0.5302,0.6266
7956908,0.2578,0.3241,0.3593
7956910,0.0356,0.0574,0.0609
7956930,-0.5036,-0.6861,-0.6109
7956937,-0.0235,-0.0499,-0.1291
7956949,0.2537,0.1503,-0.0161
7956978,0.0819,-0.0405,-0.0639
7956987,-0.2814,0.0834,0.1005
7956989,0.16,0.4062,0.3306
7957006,-0.0158,-0.0243,-0.0788
7957008,-0.0544,0.0351,0.0182
7957023,0.5869,1.5362,1.6397
7957032,0.0182,-0.2469,-0.4054
7957041,0.1101,0.1359,0.1852
7957043,-0.1458,-0.3161,-0.3652
7957052,0.2909,0.154,-0.1205
7957072,-0.3159,-0.3255,-0.3726
7957092,-0.3988,0.549,-0.0686
7957106,-0.0365,-0.1704,-0.1373
7957126,-0.0494,0.1256,-0.1197
7957140,-1.0395,-0.0964,-0.3541
7957159,-0.0242,-0.0722,-0.1804
7957161,-0.1713,0.0009,0.1281
7957167,-0.4198,-0.2234,-0.1466
7957177,-0.142,-0.2578,-0.2535
7957186,-0.1234,-0.0031,-0.1061
7957205,-0.087,-0.0371,-0.0227
7957221,-1.0456,-1.6623,-1.4753
7957242,-0.0946,-0.2699,-0.2814
7957245,-0.0501,-0.1364,-0.1588
7957253,-0.028,-0.0121,-0.0325
7957260,0.2246,1.3773,1.4439
7957271,0.0048,0.0788,0.1349
7957273,-0.0647,-0.2076,-0.1079
7957275,-0.0853,0.0547,0.0548
7957277,-0.1971,0.1678,0.1658
7957298,-0.0454,-0.0474,-0.0267
7957338,-0.2509,-0.0546,-0.2478
7957351,0.0519,-0.0083,-0.0749
7957373,-0.0274,-0.1371,-0.0866
7957379,-0.0975,-0.1662,0.0904
7957386,-0.2762,0.2421,0.1891
7957404,-0.1878,-0.248,-0.2907
7957417,0.5548,0.311,0.2978
7957431,0.2306,0.1397,0.0255
7957433,-0.1204,-0.044,-0.1649
7957452,-0.0531,-0.0587,-0.1446
7957458,-1.9213,-0.379,-0.4416
7957467,0.032,-0.0019,-0.2215
7957476,-0.0837,-0.4388,-0.357
7957478,0.0027,-0.1629,-0.188
7957495,-0.0552,0.0955,0.0106
7957497,-0.0366,-0.0881,-0.1164
7957499,-0.0174,-0.0184,-0.0235
7957503,0.0775,-0.1032,-0.1526
7957508,-0.0518,-0.0735,-0.1528
7957510,-0.1111,-0.0946,-0.1662
7957514,-0.0134,-0.0962,-0.0811
7957528,-0.0247,-0.1807,-0.2361
7957530,-0.0658,-0.2517,-0.3343
7957532,-0.0172,-0.1211,-0.1404
7957534,-0.0572,-0.0818,-0.1536
7957536,-0.015,-0.2596,-0.3666
7957540,0.0242,-0.2215,-0.1613
7957549,0.0267,-0.2046,-0.1737
7957551,-0.0227,-0.3497,-0.2938
7957560,-0.1723,-0.2146,-0.2642
7957568,0.0228,0.0415,0.0141
7957570,0.5364,0.8457,1.0172
7957602,-0.0221,0.1693,0.1058
7957604,0.2412,0.3743,0.4529
7957606,-0.2262,-0.6119,-0.5439
7957608,-0.0667,-0.098,0.0382
7957611,0.0082,-0.1394,-0.2111
7957613,0.0406,0.0268,0.0517
7957627,-0.129,-0.1999,-0.2182
7957629,0.015,-0.0279,-0.178
7957631,-0.1734,-0.0423,-0.1959
7957633,0.0026,0.0662,-0.0286
7957649,0.155,0.2086,0.2112
7957654,0.0073,-0.0746,-0.095
7957665,0.4117,1.1266,0.9503
7957673,0.1632,0.5958,0.5877
7957688,0.1382,0.4019,0.3228
7957715,0.2658,0.2717,0.1803
7957733,0.0553,0.1144,0.0531
7957735,-0.0364,-0.006,-0.123
7957737,0.1831,0.0032,-0.1143
7957746,-0.0108,-0.1731,-0.1228
7957759,0.2079,0.0878,0.0433
7957790,-0.1002,-0.0137,0.035
7957793,0.2543,-0.1745,-0.0746
7957806,0.2964,-0.2505,-0.2986
7957819,-0.4913,-0.6041,-0.4955
7957833,0.0123,-0.0733,-0.1684
7957835,-1.0513,-1.2433,-0.7737
7957850,-0.1203,-0.4148,-0.3865
7957861,-0.0112,-0.1122,-0.1472
7957890,0.3418,0.2681,0.0387
7957954,0.0212,-0.0166,-0.1427
7957956,-0.2256,-0.1762,-0.1594
7957958,-0.026,-0.0458,-0.079
7957960,-0.0279,-0.1866,-0.1888
7957962,-0.2825,0.2287,0.1884
7957966,0.0706,-0.1708,-0.1105
7958000,-0.351,-0.8818,-0.7556
7958011,-0.1626,-0.2528,-0.0895
7958015,-0.2752,-0.1971,-0.1535
7958017,-0.1033,-0.1345,-0.0388
7958019,1.0977,1.5291,1.8005
7958031,0.6505,0.1255,-0.0482
7958051,-0.0469,-0.1019,-0.1333
7958056,-0.0682,-0.1992,-0.3238
7958128,-0.0528,-0.0517,-0.0746
7958130,0.5255,0.6284,0.6536
7958147,0.0675,0.0282,-0.0472
7958152,-0.0954,0.4065,0.4199
7958158,-0.144,-0.0251,0.0116
7958174,0.0092,0.0973,-0.1593
7958197,0.0578,-0.0095,-0.1576
7958200,0.0478,0.169,0.1028
7958202,0.4168,1.1706,1.208
7958207,0.1532,0.6781,0.6024
7958209,0.0681,-0.1654,-0.2693
7958211,0.0714,-0.0091,-0.1594
7958216,-0.065,0.2358,0.2403
7958253,-0.3767,0.1652,-0.2642
7958262,-0.3386,-0.912,-0.8803
7958273,-0.3417,-0.5612,-0.5824
7958275,0.1931,-0.2367,-0.2878
7958305,0.0396,-0.1165,-0.176
7958331,0.0469,-0.1729,-0.1811
7958346,0.1962,0.5413,0.5037
7958352,-0.0659,0.0661,0.0863
7958375,-0.2114,-0.2574,-0.4069
7958377,0.1076,-0.0416,-0.1059
7958379,0.114,0.0888,-0.1457
7958396,-0.0602,-0.1208,-0.1323
7958398,-0.0552,-0.0769,-0.0827
7958410,0.1027,0.5771,0.4253
7958414,-0.1469,-0.0616,0.005
7958423,-0.0076,0.0975,-0.027
7958425,0.0466,-0.6702,-0.3985
7958439,-0.3669,-1.0728,-0.9236
7958453,-0.105,-0.1871,-0.1838
7958455,0.1497,-0.3849,-0.433
7958466,0.1037,-0.7097,-0.3489
7958524,0.0368,0.0129,-0.0178
7958532,-0.04,-0.3765,-0.3208
7958565,-0.1383,-0.251,-0.0111
7958577,-0.0316,0.0376,0.0438
7958582,0.1535,-0.0785,-0.0698
7958600,0.0089,-0.461,-0.392
7958620,0.4139,0.2946,0.1406
7958644,0.106,0.111,0.0393
7958666,0.0127,0.3028,0.1001
7958677,-0.0837,0.0106,-0.0623
7958692,0.1937,0.4656,0.2877
7958711,-0.086,-0.0692,-0.1323
7958724,-0.114,-0.0319,-0.0298
7958726,-0.0223,-0.0728,-0.0692
7958749,0.2002,0.3362,0.3867
7958759,0.2918,0.3772,0.3667
7958761,-0.0067,-0.5407,-0.3819
7958784,0.0366,-0.2478,-0.0465
7958800,0.0055,-0.4025,-0.3857
7958819,0.0011,0.0981,0.1492
7958826,-0.0167,0.0207,-0.0777
7958828,0.6429,0.3062,0.508
7958842,-0.2383,0.033,0.2542
7958844,0.1714,0.083,0.0409
7958846,0.1921,0.1094,0.056
7958860,-0.0694,0.028,0.0126
7958884,0.1233,-0.2523,-0.0525
7958895,0.5077,0.7662,0.8768
7958913,0.7696,1.6565,1.6602
7958931,-0.4214,0.3633,0.237
7958942,-0.0991,0.0246,0.0621
7958948,-0.1072,-0.0327,-0.0598
7958950,-0.5202,-0.1643,-0.1685
7958960,-0.1409,-0.273,-0.0963
7958989,-0.009,0.2795,0.2805
7959002,-0.0762,-0.3214,-0.1719
7959010,-0.0762,-0.0944,-0.1495
7959012,-0.1746,-0.0477,0.0313
7959014,0.1304,0.0582,0.1075
7959016,-0.0493,0.136,0.2007
7959023,0.038,0.1618,0.1662
7959025,0.0436,0.0964,-0.0218
7959039,0.2768,0.0322,-0.0283
7959052,0.265,-0.0761,-0.1658
7959070,-0.3708,0.0651,0.1717
7959078,0.0476,0.0078,-0.2298
7959080,-0.0341,-0.2856,-0.2893
7959085,-0.0426,-0.0085,0.1591
7959087,-0.1397,-0.1326,-0.0674
7959100,0.0953,0.1482,0.2524
7959102,0.0127,0.7005,0.5994
7959108,0.304,0.1117,0.3109
7959123,-0.197,-0.2152,-0.1284
7959131,-0.0246,-0.0074,-0.0085
7959144,-0.0902,0.0547,0.1456
7959146,0.2799,0.108,0.0606
7959148,-0.1709,0.0647,0.0771
7959153,-0.1808,-0.3227,-0.2186
7959157,-0.2446,-0.2236,-0.266
7959164,0.1206,0.0013,-0.0188
7959173,-0.0415,-0.0332,0.0241
7959195,-0.0345,-0.1307,-0.1334
7959205,0.4362,-0.1536,-0.1263
7959212,-0.009,-0.0584,-0.093
7959220,-0.4044,-1.1126,-0.7797
7959232,-0.05,-0.042,-0.0371
7959234,-0.4649,-0.4549,-0.4339
7959249,-0.0604,-0.0644,-0.1054
7959251,0.4425,0.4765,0.8181
7959267,-0.4065,-0.9827,-0.7999
7959282,-0.0371,0.0912,0.1532
7959292,-0.0042,-0.004,-0.1272
7959294,0.001,0.2087,0.1687
7959298,-0.0168,0.3471,0.3401
7959312,-0.0016,0.0225,0.1229
7959314,-0.1259,0.1845,0.1693
7959322,-0.0575,0.0712,0.0125
7959330,0.0646,0.3184,0.2157
7959354,-0.1287,-0.1802,-0.2304
7959361,0.049,-0.5075,-0.4631
7959386,-0.1145,-0.0285,-0.0297
7959402,-0.0026,0.0545,0.1243
7959408,0.4643,0.3395,0.3507
7959473,-0.0148,0.0125,-0.0315
7959482,-0.0514,-0.283,-0.0525
7959484,0.052,-0.0805,-0.0924
7959500,0.1709,-0.0527,0.0909
