probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7892662,-0.2488,-0.4395,-0.3663
7892663,0.168,0.2325,0.1869
7892664,0.3109,0.2284,0.0564
7892665,-0.1513,0.2515,0.2788
7892666,-0.1294,-0.082,-0.108
7892667,0.1099,-0.0721,-0.021
7892668,-0.1611,-0.2918,-0.4026
7892669,-0.0445,-0.0873,-0.1036
7892670,0.1649,-0.0744,-0.1728
7892671,-0.0305,0.1578,0.0946
7892672,0.3268,-0.2771,-0.1688
7892673,0.0393,0.1661,0.4223
7892674,-0.2318,0.0641,-0.0686
7892675,-0.0235,-0.2731,-0.265
7892676,0.3216,0.0959,0.1416
7892677,0.0808,0.0999,0.1473
7892678,0.144,0.2676,0.1029
7892679,0.2041,0.5747,0.2158
7892680,-0.4299,0.4876,0.3313
7892681,0.0319,0.1746,0.1024
7892682,0.1269,0.3608,0.239
7892683,0.1305,-0.3079,-0.1207
7892684,0.2686,0.229,0.1988
7892685,-0.1032,-0.0182,-0.0558
7892686,-0.1468,-0.1203,-0.0835
7892687,0.4194,0.2092,0.0479
7892688,-0.2668,-0.1161,-0.4168
7892689,0.0074,0.0455,-0.0193
7892690,-0.1304,0.2048,-0.0058
7892691,-0.1427,-0.0504,-0.1469
7892692,0.2515,-0.18,-0.0444
7892693,0.225,-0.0708,0.0107
7892694,0.012,0.3589,0.3156
7892695,0.0261,-0.1348,0.0267
7892696,-0.2205,-0.0208,0.0542
7892697,-0.1247,0.0235,0.0174
7892699,0.5261,0.0896,0.1756
7892700,-0.2292,-0.4029,-0.5173
7892701,0.0423,-0.0764,-0.1263
7892702,0.0851,0.546,0.4029
7892703,-0.1,-0.1459,-0.0796
7892704,0.0386,0.1865,0.1019
7892705,0.1691,-0.0925,-0.0297
7892706,0.0819,-0.184,-0.082
7892707,0.3044,0.2567,0.1879
7892708,0.2972,0.2881,-0.0334
7892709,-0.1303,-0.2278,-0.3001
7892710,0.1318,0.273,0.3901
7892711,0.397,0.746,0.819
7892712,-0.2368,-0.1904,-0.0791
