draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
1,78.34584795109672,48.74779937631426,100.0,100.0,25.058412962800425,8.079938820171616,9.560700198943318,2.7039277219029545,7.304295054239807,2.0294643695588865
2,76.3999170867227,53.60765297888626,100.0,100.0,28.131166291548116,12.258893746462396,6.198601767801493,2.3044128852499512,4.607666557010292,1.6949023468563973
3,75.0956417265861,49.88564461501063,100.0,100.0,28.798082747774533,11.779226606714854,6.284241080083963,2.1657347383842285,4.898623776978073,1.672008317096152
4,76.27545680408387,47.1502119576407,100.0,100.0,26.335635925119504,9.025276212191514,6.39023398618308,1.859084467333405,4.946069621879834,1.4233691497446688
5,75.33017316302623,46.82548038906668,100.0,100.0,28.967761016360495,10.523152341353125,7.898954958970272,2.4136264239376093,6.035537038606142,1.8186827160455166
6,71.30488883015542,44.58070300492653,100.0,100.0,32.133437272736366,13.290484025075733,6.274740339004204,2.121300090515832,4.991017282881883,1.6721535301360446
7,73.81738527607351,50.76512663725894,100.0,100.0,29.845942912983592,13.46405183973145,8.502041288923333,3.2865899809663146,6.559442667933391,2.5030514687892635
8,71.26400684408576,43.45729348105536,100.0,100.0,32.38511956928992,12.925205556176811,6.4916264626388,2.1062032393735164,4.77887761611866,1.5315520873587007
9,80.9090009625826,50.87022737813902,100.0,100.0,22.648809482583744,6.676077396430468,9.377424729827288,2.465780718284638,6.8977494956199426,1.7778968966664976
10,81.11128285101688,58.28440976006621,100.0,100.0,23.32632488134734,9.007053941673204,7.601330216082724,2.6069147027919404,5.962792432933906,2.021420224872883
11,76.1283069254102,49.606807344838785,100.0,100.0,28.72488010536123,11.063821478817914,9.920821521083834,3.2878404596489608,7.438219130141189,2.4204842308237606
12,67.06600134511267,44.23080576352809,100.0,100.0,36.972863141647395,18.59789118388856,7.593437467708942,3.1011777682828146,5.736055068946044,2.3150892854858385
13,78.25408293852287,47.832919217038175,100.0,100.0,25.545831566343224,8.039571865312,5.884013808073451,1.5680054191706372,4.341121246958323,1.143100397809449
14,81.06231388472445,56.047317488087046,100.0,100.0,23.15725881057701,8.23798750358854,8.86605564162306,2.8165597303021928,6.777230612617946,2.119835840344886
