gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
PDCL2,-0.3125,0.066276,-0.2757,0.099571
TRAM1L1,-1.0525,0.028125,-1.083,0.025327
SCFD2,-0.1408,0.501568,0.0851,0.691469
PPM1K,-0.2962,0.319568,-0.3456,0.270128
C4orf45,0.0637,0.176712,0.0,nan
SLC10A4,-0.0785,0.715929,-0.0822,0.706263
TMEM154,-0.2041,0.285005,-0.2243,0.248099
FDCSP,2.8273,0.0,2.6763,0.0
ENPP6,0.1157,0.446799,-0.0977,0.505201
TAPT1,-0.647,3.4e-05,-0.3125,0.01239
CCDC96,-0.1247,0.651264,0.0357,0.896875
ELMOD2,0.1448,0.4043,0.229,0.191471
NAP1L5,-0.4178,0.336189,-0.5712,0.207333
MMAA,-0.2335,0.41035,0.1492,0.599436
GABRG1,0.034,0.540183,-0.0263,0.474521
RNF175,0.4055,0.120076,0.1692,0.508257
STPG2,-0.0269,0.695179,0.0154,0.834352
ZAR1,0.0194,0.178174,0.0187,0.164815
KLB,-1.9116,3.1e-05,-1.7488,8.1e-05
OTOP1,0.0,nan,0.0,nan
TRIML1,0.0075,0.321537,0.0566,0.217013
NAT8L,-1.0646,0.017613,-1.0894,0.015609
ANKRD37,0.3287,0.190049,-0.0413,0.871912
POLN,0.5433,0.164486,0.1912,0.617056
TMPRSS11B,0.4521,0.087,0.1233,0.59832
YIPF7,-0.0502,0.343436,-0.0249,0.665237
CYP2U1,-0.6263,0.215355,-0.7125,0.164207
SLC10A6,1.365,0.00043,1.0564,0.003265
QRFPR,0.0044,0.981514,-0.186,0.319554
GPRIN3,2.2493,0.0,1.8701,0.0
KCTD8,-0.1898,0.347151,-0.078,0.704291
LRIT3,-0.3261,0.298923,-0.2151,0.492183
LOC389199,0.0219,0.200533,0.0079,0.322778
MRFAP1L1,-0.1819,0.067127,-0.0619,0.502235
NIPAL1,-1.3525,7.7e-05,-1.0039,0.001186
CYP4V2,-0.419,0.003057,-0.2684,0.057346
