gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
ACADM,-0.488,0.0438,-0.5249,0.065296
AGL,-0.5333,4.5e-05,-0.4944,9.6e-05
AGT,-0.8118,0.047597,-0.9164,0.030083
AMPD1,0.1024,0.303253,-0.0288,0.720015
C8B,0.0,nan,0.0,nan
CACNA1S,0.0,nan,0.0,nan
LYST,0.3273,0.167446,0.3433,0.149814
CLCNKB,-0.4371,0.101861,-0.403,0.128737
CPT2,-0.3022,0.038103,-0.2204,0.113992
DPYD,1.3829,0.0,1.3658,0.0
EPHX1,-1.769,0.0,-1.3188,3e-06
F5,1.1801,0.000974,1.0335,0.003399
FH,-0.6935,0.015386,-0.5337,0.047933
FUCA1,0.0194,0.964034,-0.0005,0.999131
GBA,0.0,nan,0.0,nan
CFH,-1.3956,1e-06,-1.0781,2.1e-05
HMGCL,0.2063,0.276809,0.1203,0.572113
HSD3B2,0.0,nan,0.0,nan
LAMB3,0.7337,0.038354,0.5554,0.111119
MTR,0.0245,0.873636,0.1134,0.457414
MYOC,-3.9441,8.8e-05,-3.5961,0.000161
PKLR,-1.2508,0.001593,-0.9587,0.00936
PKP1,-0.7368,0.009643,-0.3127,0.200203
PLA2G2A,-1.6122,0.097297,1.6682,0.085081
PLOD1,0.4592,0.079777,0.1093,0.726202
PPOX,-1.7496,0.002676,-1.3452,0.014925
PPT1,0.4562,0.002833,0.6201,0.000244
RPE65,-0.0357,0.664603,-0.0881,0.273791
ABCA4,-0.9125,0.001709,-0.6332,0.028849
TNNT2,-2.1801,0.001311,-1.7555,0.005343
UROD,-0.3546,0.148084,-0.1013,0.639741
CTSK,-0.3445,0.52858,-0.3827,0.488861
GALE,1.2314,0.016109,1.3712,0.009327
LOR,-4.1596,0.0,-3.6214,0.0
NCF2,2.3944,0.0,2.3826,0.0
PAFAH2,-0.5238,0.002557,-0.2641,0.115612
PSEN2,0.3227,0.585537,0.5246,0.380739
RFX5,0.5273,0.001494,0.5168,0.003762
SELE,2.1927,1.1e-05,2.9933,0.0
ALPL,4.3068,0.0,3.1013,0.0
SERPINC1,0.1275,0.007389,0.0656,0.112824
C1QB,1.9915,7e-06,1.6661,3.7e-05
MPZ,-2.2751,0.001524,-1.8056,0.00666
REN,0.4117,0.002552,0.5539,0.000408
TSHB,0.0,nan,0.0,nan
CD53,3.0575,0.000323,3.1703,0.000274
GSTM1,0.0108,0.321537,0.0,nan
C8A,0.2495,0.002117,0.2233,0.005213
IL6R,1.6729,0.0,1.6711,0.0
FCGR1A,3.3031,0.0,3.6139,0.0
CRP,0.0583,0.099621,0.0,nan
FCGR3A,5.5165,0.0,5.0798,0.0
FCGR3B,5.0058,0.0,3.9982,0.0
IL10,0.9918,0.003127,1.4306,0.000148
CR1,2.9813,1e-06,2.6256,3e-06
CD55,-0.1453,0.646292,0.0221,0.944115
FASLG,0.5482,6e-06,0.3593,0.004622
SELL,3.6916,0.0,3.4166,0.0
ADORA1,-0.5995,0.098014,-0.6473,0.076679
ADORA3,1.1026,0.015817,1.2475,0.007973
ALDH9A1,-0.2631,0.004622,-0.0652,0.486618
AMY2A,0.0,nan,0.0,nan
ATP1A1,0.0764,0.630073,0.3352,0.049252
ATP1A2,-2.6444,7.2e-05,-2.3211,0.000187
AVPR1B,0.0129,0.167088,0.0111,0.322778
C4BPA,0.3789,0.000139,0.203,0.014349
C4BPB,0.1007,0.044768,0.0,nan
CACNA1E,0.7434,0.137143,0.2047,0.667413
CD247,2.1837,3.3e-05,1.8337,0.000169
CHRM3,-2.1186,0.0,-1.5878,2e-06
CHRNB2,0.1931,0.460599,0.2799,0.296026
CSF1,0.6474,0.006298,0.4522,0.067903
CSF3R,5.5375,0.0,5.3624,0.0
CYP2J2,-1.7233,0.004101,-1.4364,0.011408
CYP4A11,0.0,nan,0.0,nan
CYP4B1,-2.1162,0.01143,-0.8302,0.275044
DIO1,0.0,nan,0.0,nan
GABRD,-1.6035,0.000127,-1.7756,6.1e-05
GRIK3,-0.9404,0.005046,-1.0973,0.001816
GSTM2,0.1199,0.006285,0.1046,0.052873
GSTM3,-1.9411,0.0,-2.0743,0.0
GSTM4,-0.9333,0.000116,-0.9241,0.000169
GSTM5,-2.8809,0.0,-2.5983,0.0
GUK1,-0.3792,0.003737,-0.4498,0.001052
HSD3B1,-0.3131,0.30942,-0.0109,0.97318
HTR1D,0.0059,0.988431,-0.0603,0.883653
HTR6,0.0073,0.91491,-0.0191,0.783294
NPR1,-2.009,0.000288,-1.4357,0.003253
OPRD1,0.0359,0.90155,-0.1094,0.70726
PLA2G5,-0.7732,0.03276,-0.6158,0.081872
PTAFR,2.7778,9.2e-05,2.8477,7.4e-05
PTGFR,-1.7258,0.0,-0.7565,8.8e-05
PTGS2,3.3046,0.0,2.2145,0.0
RPL5,-0.8739,0.0,-0.8661,0.0
RPL11,-0.9256,0.0,-0.9476,0.0
RPL22,-0.5507,0.000159,-0.6652,3.6e-05
ATP2B4,-0.6367,7e-06,-0.2766,0.01087
RORC,-2.0862,0.0,-1.6847,0.0
LEMD1,0.0,nan,0.0,nan
MED8,0.5585,5.9e-05,0.6076,3.1e-05
ATP1A4,-0.0247,0.580155,-0.0405,0.343436
COP1,0.6694,0.310721,0.7086,0.285888
OR2T34,0.0,nan,0.0,nan
OR2T27,0.0,nan,0.0,nan
OR2T35,0.0,nan,0.0,nan
OR2G3,0.0,nan,0.013,0.322778
OR2G2,0.0043,0.321537,0.0,nan
OR14C36,0.0259,0.321537,0.0,nan
LHX8,-0.0291,0.898243,-0.1355,0.539954
OR2W3,0.0,nan,0.0,nan
OR11L1,0.0,nan,0.0,nan
OR2L8,0.0,nan,0.0,nan
OR2T11,0.0,nan,0.0,nan
OR14A16,0.0336,0.116354,0.0243,0.1651
EXOSC10,-0.3538,0.001771,-0.21,0.045294
FCGR2B,0.6108,0.08326,-0.0224,0.953683
WLS,-1.08,0.0,-1.315,0.0
FMO3,0.275,0.554171,-0.5727,0.218182
PDE4DIP,0.0043,0.993657,-0.0165,0.976192
FCRLB,0.6252,0.015285,0.4491,0.082769
ERICH3,0.0312,0.637021,0.0321,0.641626
STUM,-2.5286,0.0,-1.8384,0.0
LEPR,-3.3324,0.0,-2.7756,0.0
TMEM200B,-0.4968,0.003239,-0.4278,0.007388
DYRK3,1.8734,0.0,1.559,0.0
QSOX1,0.0359,0.772134,0.0652,0.621575
OR2T2,0.0,nan,0.0,nan
FYB2,0.4089,1.1e-05,0.2035,0.029514
FCRL6,0.2188,0.299428,-0.0649,0.757657
VHLL,0.0,nan,0.0,nan
ZYG11A,0.0438,0.747465,-0.0838,0.529559
FCGR1B,3.4014,0.0,4.024,0.0
ETV3L,0.5173,0.0,0.383,0.000131
TRIM67,0.081,0.509812,0.1466,0.263742
MAP1LC3C,0.058,0.066009,0.0427,0.092533
LINGO4,-0.5007,0.105363,-0.557,0.080068
SLC30A2,-0.3048,0.240262,-0.297,0.255763
TAFA3,-0.0612,0.497458,0.0221,0.822916
OR10J3,0.0145,0.321537,0.0781,0.050242
OR10J5,0.0,nan,0.0,nan
OR10R2,-0.1989,0.369973,-0.1602,0.476094
OR10K1,0.0,nan,0.0,nan
OR10T2,0.0,nan,0.0,nan
OR10K2,0.0,nan,0.0,nan
OR10X1,0.0185,0.321537,0.0,nan
OR10Z1,0.0,nan,0.0,nan
OR2AK2,0.0,nan,0.0,nan
OR2B11,0.0439,0.063256,0.0878,0.151884
OR2L2,0.0085,0.321537,0.0,nan
OR2L3,0.0,nan,0.0,nan
OR2M2,0.0612,0.053972,0.0108,0.322778
OR2M3,0.0345,0.181574,0.0,nan
OR2M5,0.0,nan,0.0,nan
OR2M7,0.0,nan,0.0,nan
OR2T12,0.0,nan,0.0,nan
OR2T10,0.0094,0.321537,0.0678,0.223794
OR2T29,0.0,nan,0.0,nan
OR2T33,0.0,nan,0.0,nan
OR2T4,0.0066,0.321537,0.0,nan
OR2T5,0.0,nan,0.0,nan
OR2W5,0.0629,0.176609,0.0199,0.322778
OR14K1,0.0094,0.321537,0.0,nan
OR14I1,0.0,nan,0.0,nan
OR6K6,0.0376,0.169273,0.0214,0.322778
OR6N1,0.0,nan,0.0,nan
OR6Y1,0.0,nan,0.0,nan
LRRC52,0.0371,0.133219,0.0,nan
OR4F29,0.0,nan,0.0,nan
OR4F3,0.0,nan,0.0,nan
OR4F16,0.0,nan,0.0,nan
OR6N2,0.0,nan,0.0,nan
OR6K2,0.0,nan,0.0119,0.322778
OR6F1,0.0107,0.159885,0.0,nan
PSRC1,0.5442,0.241363,0.4919,0.29888
OR6K3,0.0,nan,0.012,0.322778
AK4,0.2099,0.450316,0.4754,0.10321
NFASC,-1.1496,3.8e-05,-1.2963,2.2e-05
B4GALT2,-0.4776,0.007922,-0.4446,0.014082
H3C15,0.0,nan,0.0,nan
OR2T6,0.0,nan,0.0,nan
OR4F5,0.0,nan,0.0,nan
OR13G1,0.0817,0.596981,-0.0001,0.999618
OR2T3,0.0,nan,0.0,nan
OR2T8,0.006,0.321537,0.0,nan
GJB3,-1.5069,0.0,-0.8511,4e-06
HAO2,-2.0548,0.019181,-1.8147,0.033999
ATP8B2,-0.0473,0.820698,-0.189,0.366109
DIPK1A,-0.2804,0.539623,-0.4413,0.348454
PDPN,2.8572,0.0,2.8512,0.0
CR2,0.513,9.5e-05,0.2849,0.001859
RPS6KA1,1.3888,0.0,1.2165,0.0
EPHA8,-0.0353,0.578513,0.0144,0.836533
LRIF1,1.2181,0.016198,1.2075,0.016694
ODF2L,1.2332,0.001209,0.6505,0.059055
SCP2,-0.6362,0.002947,-0.4817,0.016379
CACYBP,-0.3574,0.015512,-0.1918,0.168038
IGSF3,-0.3164,0.17151,-0.311,0.156948
EEF1AKNMT,-0.1463,0.504089,-0.1174,0.658102
KLHDC9,-1.0466,0.010073,-0.7259,0.055669
PRDM2,0.5345,6.5e-05,0.5674,3.3e-05
RHEX,-2.4791,0.0,-2.491,0.0
CSDE1,-0.2259,0.080146,-0.2497,0.056912
NTRK1,0.7583,1e-06,1.0278,0.000608
CEPT1,1.6483,0.004634,1.7584,0.003187
AMY1B,0.0,nan,0.0,nan
AMY1C,0.0,nan,0.0,nan
AMY1A,0.0,nan,0.0,nan
ENAH,0.5436,0.001238,0.4257,0.005595
TCHHL1,0.1202,0.827099,0.2198,0.69732
KYAT3,-0.357,0.011674,-0.412,0.011581
TMCO2,0.0417,0.125584,0.0335,0.089121
CCT3,0.5751,0.004138,0.6672,0.001498
CLSTN1,-0.6008,7e-06,-0.4544,0.000177
SMPDL3B,1.0734,0.000446,0.705,0.012344
PRAMEF4,-0.0327,0.649373,-0.0633,0.343436
TUT4,0.9187,0.004434,0.6283,0.0332
HRNR,3.0056,0.0,0.8008,0.002726
SSBP3,-0.689,6.1e-05,-0.6439,0.000131
ZNF648,0.0611,0.033055,0.0915,0.080739
KDM1A,0.2492,0.613062,-0.2094,0.674694
SHE,-1.3125,0.002354,-0.8567,0.027032
LRRC38,-0.0543,0.565405,0.1525,0.22847
LELP1,0.0,nan,0.0,nan
RNF187,-0.4565,0.007253,-0.3231,0.049702
PLPPR5,-0.86,0.030444,-0.8949,0.025614
TMEM201,-0.078,0.669501,0.1634,0.326694
IBA57,-0.1806,0.431864,-0.2592,0.292775
C1orf167,0.272,0.027846,0.5979,9e-05
FAM102B,1.5339,0.0,1.3465,3e-06
PRAMEF6,0.0,nan,0.0,nan
PRAMEF9,0.0,nan,0.0,nan
SLC6A17,-1.1799,5.2e-05,-1.1187,0.000103
BCL2L15,0.3449,0.262282,-0.2212,0.472008
HES5,-2.8767,0.0,-2.4843,0.0
RAP1A,-0.0372,0.776929,-0.0702,0.586745
CYP4A22,0.0999,0.007484,0.1034,0.099898
SAMD13,-0.5433,0.069076,-0.454,0.124361
LDLRAD1,0.0,nan,0.0,nan
C1orf189,-0.015,0.816158,-0.0063,0.922057
NCMAP,-1.2686,1.2e-05,-1.0803,7.6e-05
SPRTN,0.072,0.634761,0.0947,0.58166
MYBPHL,0.0715,0.030046,0.0691,0.05089
SLC5A9,-0.2443,0.210958,-0.1451,0.468455
ARHGEF10L,-0.1938,0.200927,-0.0326,0.827677
RPS8,-1.1352,3e-06,-1.1011,3e-06
PRAMEF8,0.0,nan,0.0,nan
PRAMEF7,0.0,nan,0.0,nan
CTNNBIP1,-1.3866,0.0,-1.0152,7e-06
C1orf146,-0.1289,0.252132,-0.1292,0.256396
NUDT17,-0.4373,0.002337,-0.3602,0.008037
DISC1,1.2488,1e-06,1.2973,0.0
C1orf100,0.0,nan,0.0,nan
COA6,0.5996,0.013552,0.7455,0.003601
OR2G6,0.0,nan,0.0,nan
PRAMEF5,0.0,nan,0.0,nan
LURAP1,-0.9586,0.02019,-0.8433,0.036902
CFAP126,0.0229,0.321537,0.0,nan
AADACL4,0.0287,0.659808,0.0465,0.512576
HNRNPCL1,0.0,nan,0.0187,0.322778
TCTEX1D4,1.0819,0.001772,0.8337,0.010109
TMEM82,0.0,nan,0.0,nan
TRNP1,-0.9914,0.001044,-0.4847,0.073946
FRRS1,-0.3398,0.082595,-0.2901,0.13192
VSIG8,-2.7615,2.9e-05,-2.1015,0.000275
LDLRAD2,-0.1832,0.432362,-0.3885,0.117554
SPRR2G,2.6552,8e-06,2.8226,3e-06
FLG2,-3.9411,0.0,-3.4304,0.0
LHX9,0.002,0.996727,-0.0399,0.936418
USP21,-0.0037,0.994531,0.1599,0.768004
SPRR2F,4.4537,0.0,3.28,0.0
FBXO44,-1.2461,0.000343,-1.3884,0.000163
DDR2,0.7347,0.01321,0.3646,0.186435
NCDN,0.1391,0.817525,0.1091,0.85879
C1QTNF12,-1.204,0.020159,-1.2511,0.016956
LGR6,-1.5452,0.003427,-1.4048,0.00596
USP1,0.2772,0.206646,0.3093,0.163275
SPRR2B,5.2589,1e-06,4.8505,1e-06
KCNK2,-3.268,0.0,-2.2774,0.0
PGBD2,-0.4329,0.024125,-0.2704,0.14028
ERMAP,-0.4633,0.069055,-0.3619,0.152219
FAM78B,1.0158,0.021026,0.3847,0.341625
HFM1,-0.0917,0.718497,-0.3468,0.184987
DCAF6,-0.0326,0.95883,-0.2972,0.653378
KAZN,-0.0093,0.979446,0.3085,0.419552
MUC1,0.5308,0.590309,0.7364,0.464225
PFKFB2,0.3663,0.10311,0.2742,0.203354
LRP8,2.2666,0.001203,2.3116,0.000919
SERBP1,0.0726,0.421149,0.1992,0.041121
HAX1,-0.7626,0.002207,-0.6184,0.016753
PUM1,0.0608,0.673143,0.042,0.771891
SPRR2E,1.4092,0.000124,1.3713,0.000192
S100A13,-0.8099,7.4e-05,-0.9668,3.5e-05
FBLIM1,1.8189,0.0,1.1079,6.6e-05
ARF1,0.2468,0.239139,0.2955,0.162706
C1orf53,-0.333,0.296615,-0.1073,0.735618
HES3,0.0,nan,0.0,nan
H2BC18,0.0622,0.033066,0.0291,0.159628
SPATA45,-0.0069,0.898847,-0.0373,0.487803
PRAMEF14,0.0,nan,0.0,nan
C1orf68,-2.7549,0.0,-1.9537,0.0
MECR,-2.0981,0.0,-1.811,1e-06
SLC6A9,-2.9313,0.0,-2.3303,0.0
TRIM17,1.1266,1e-06,1.3344,0.0
FNBP1L,0.2726,0.287972,0.0507,0.848468
ADAR,0.6567,0.00461,0.7786,0.001458
CD34,-2.6831,0.0,-2.5154,0.0
CHI3L2,4.9432,1e-06,4.8671,1e-06
KPRP,-1.833,0.0,-1.3878,3e-06
TAF5L,0.4703,0.021289,0.3754,0.05682
ARHGAP30,1.2824,0.0,1.4136,0.0
AHDC1,-1.0942,0.000326,-0.9467,0.001055
CPTP,-0.5804,0.001979,-0.6591,0.002472
RPS27,-1.3302,0.000788,-1.2865,0.001079
ATF3,1.5535,0.011178,1.4452,0.018586
CYB5RL,-1.0718,2.2e-05,-1.0198,0.000112
RUNX3,0.8036,0.0,0.5542,0.000358
TP53BP2,0.5681,0.023461,0.3778,0.146087
HHLA3,-0.0556,0.929166,0.4477,0.478453
SCMH1,0.0905,0.88119,-0.2787,0.650767
DDX59,0.4841,0.314219,0.0885,0.859016
MANEAL,-0.9393,0.014723,-0.6148,0.087699
TIPRL,0.1174,0.274592,0.1601,0.147313
MICOS10,-0.4152,0.011647,-0.2517,0.094394
USP48,-0.0681,0.643645,-0.0069,0.962467
EXTL2,0.1632,0.748517,-0.1124,0.82804
GLUL,1.1974,0.0,1.1134,0.0
MYCL,-1.9609,4.2e-05,-1.9172,4.5e-05
PRKCZ,0.0022,0.996579,0.1849,0.726411
LY9,1.1535,0.000276,0.5237,0.052092
TRAF5,0.2267,0.237461,0.1122,0.535429
DMAP1,-0.0614,0.887106,-0.0919,0.829679
H4C15,0.0,nan,0.0,nan
RYR2,-1.2852,0.001225,-1.379,0.000704
RABGAP1L,-0.3617,0.033132,-0.4698,0.034249
SDHC,-0.3197,0.142743,-0.295,0.230184
SUSD4,-1.4822,0.000634,-1.0533,0.008835
GGPS1,-0.5238,0.008425,-0.3295,0.068746
PDE4B,3.8729,4e-06,2.6199,0.000143
NBPF8,0.9269,0.044949,1.0087,0.028843
NBPF9,0.4555,0.323734,0.0622,0.891338
RSPO1,-1.8767,0.008876,-1.498,0.027631
CDC42SE1,1.1488,0.004128,1.1931,0.00327
RGS21,0.0166,0.091737,0.0183,0.160792
ATAD3C,-0.0269,0.94426,0.3214,0.405365
PRAMEF10,0.0,nan,0.0,nan
ATP6V0B,0.995,2.5e-05,1.0061,2.2e-05
MROH7,-1.8278,0.003611,-2.0277,0.001859
THEMIS2,3.4727,2.8e-05,3.3983,3.5e-05
VWA5B1,-0.1297,0.55608,-0.2828,0.20183
KCNC4,-0.2329,0.413162,0.0974,0.725226
CCNL2,-0.089,0.725486,-0.114,0.648377
DPH2,-0.3519,0.480383,0.0414,0.93247
TNFRSF25,-1.11,0.004891,-1.102,0.004854
NBPF10,-0.1419,0.847212,0.5728,0.450563
DEDD,-0.0737,0.610936,-0.0475,0.744999
CRYBG2,-0.2133,0.445888,0.0687,0.791359
CDC42,-0.3381,0.105692,-0.2188,0.269916
ANKRD34A,0.6889,1e-06,0.5328,0.000504
SLC66A1,-0.0433,0.918193,0.1669,0.69589
AGTRAP,0.7635,0.000171,0.9056,3.5e-05
MINDY1,-1.1211,0.000331,-0.9587,0.002432
ZBTB8A,-1.4205,3.1e-05,-1.179,0.000209
CHIA,0.0,nan,0.0,nan
SYPL2,-0.612,0.222385,-0.5048,0.311504
H2AC19,0.0,nan,0.0,nan
RO60,-0.0738,0.424443,0.0172,0.851724
CEP170,1.1427,0.000816,0.9383,0.003236
AJAP1,0.5325,0.155684,-0.5056,0.188452
ATPAF1,0.2171,0.672596,0.3933,0.44892
NSL1,-0.1242,0.383023,-0.103,0.464773
TATDN3,-0.4325,0.068303,-0.158,0.495926
CD1E,-0.2266,0.717808,-0.4775,0.460518
PLEKHG5,-2.2099,0.0,-2.0396,0.0
RHOC,-0.5171,0.065628,-0.526,0.060241
RERE,0.0825,0.684366,0.0739,0.717296
SHISAL2A,1.0079,0.038335,0.3051,0.499057
CLCNKA,0.0,nan,0.0,nan
FGR,3.8472,1.2e-05,4.1476,7e-06
LCK,2.0024,0.000131,1.3556,0.00377
TPM3,1.7705,0.0,1.9191,0.0
NBPF7,0.0536,0.091393,0.053,0.211018
STIL,1.6542,5.2e-05,1.7777,2.3e-05
MUTYH,0.4856,0.363309,0.2799,0.600279
PHACTR4,-0.6305,0.000851,-0.4532,0.00869
RCC1,1.291,0.013456,1.2731,0.014692
CLCC1,-0.4975,0.001746,-0.36,0.014198
TNFRSF1B,2.5335,0.0,2.6175,0.0
ZNF436,-0.5416,0.034317,-0.5734,0.027272
UBXN11,0.1332,0.637977,0.2349,0.421571
DPH5,-0.6673,0.006617,-0.3829,0.112863
IRF2BP2,0.1358,0.410134,0.2342,0.169893
PPCS,-0.421,0.003134,-0.1944,0.125002
NR1I3,0.0,nan,0.0,nan
APH1A,-0.4045,0.082517,-0.0885,0.671396
MIER1,0.3909,0.061264,0.3456,0.091878
VCAM1,1.6785,0.011666,1.6752,0.011706
TBCE,-0.1751,0.514197,0.0123,0.964302
NLRP3,2.6999,0.0,2.4116,0.0
CASZ1,-1.1402,6.4e-05,-0.8272,0.001447
VAV3,-0.7931,0.000616,-0.3373,0.087887
SLC45A1,-0.5613,0.11588,-0.6746,0.065659
DLGAP3,-0.2213,0.580676,-0.3702,0.368749
DUSP27,0.0442,0.026782,0.0798,0.144813
A3GALT2,0.0,nan,0.0,nan
ZNF697,0.8987,0.025351,0.4848,0.205382
PEAR1,-0.7957,0.000161,-1.2029,1e-06
TTC39A,1.5058,0.016932,1.6059,0.011851
PRAMEF12,0.0156,0.160773,0.0,nan
CCDC30,0.3457,0.32438,0.263,0.456454
TMIGD3,1.9925,1e-06,1.9645,7e-06
ROR1,-2.0503,0.0,-1.3829,3.6e-05
ZBTB40,0.1425,0.495014,0.1853,0.332034
C1orf116,-1.0366,1e-06,-0.8594,1.4e-05
TDRKH,0.8354,0.043602,0.8124,0.052503
C1orf226,-0.2818,0.415074,-0.5358,0.131072
LYPD8,0.0,nan,0.0622,0.105837
MYSM1,0.8455,0.034786,0.6563,0.087992
UQCRHL,-0.4431,0.170934,-0.383,0.232169
MEX3A,0.3808,0.068041,0.2009,0.368798
SPRR3,3.7421,0.0,1.1836,0.000207
KNCN,0.0,nan,0.0,nan
GPR89A,0.2585,0.53021,0.3872,0.359804
PRAMEF15,0.0,nan,0.0,nan
COPA,-0.0584,0.657688,-0.0029,0.981836
TDRD10,-0.8153,0.089863,-0.172,0.704511
C1orf43,-0.4692,0.017542,-0.3088,0.093043
OBSCN,-0.7219,0.172032,-0.6215,0.238146
GNG4,0.496,0.002543,0.2358,0.083899
DCDC2B,0.3715,1.1e-05,0.2923,0.001022
EPHA10,-0.0769,0.802616,0.0283,0.927853
MTFR1L,-0.5641,0.0119,-0.5418,0.014164
PRAMEF19,0.0,nan,0.0,nan
PRAMEF18,0.0,nan,0.0,nan
PRAMEF17,0.0,nan,0.0,nan
PRAMEF20,0.0,nan,0.0,nan
ACTA1,-3.4196,8.8e-05,-2.6052,0.000583
PRAMEF22,0.0,nan,0.0,nan
FAM72B,0.0,nan,0.0179,0.322778
FAM183A,-0.7777,0.0476,-0.5467,0.153506
NRDC,0.0054,0.958246,-0.0464,0.658283
NBPF11,-0.7815,0.014528,-0.6411,0.050802
SIKE1,0.6814,0.009686,0.5823,0.022029
HNRNPR,0.4883,0.002097,0.4737,0.002636
RGS4,2.9274,0.0,0.7672,0.034663
RGS8,0.0,nan,0.0,nan
PCP4L1,1.4163,0.011214,0.9175,0.075393
HENMT1,1.5151,0.000767,1.3125,0.002214
CCDC163,0.0957,0.088174,0.0696,0.322778
ACTN2,-0.0458,0.737103,-0.0761,0.580418
SH2D5,2.0875,0.0,1.8296,0.0
AADACL3,-2.077,0.039221,-1.3592,0.159544
RUSC1,-0.5957,0.018921,-0.5033,0.118458
SWT1,0.9174,0.054642,0.949,0.048231
CAP1,0.8532,3e-06,0.8198,5e-06
UBE4B,-0.2092,0.115428,-0.2037,0.114707
LRRIQ3,-0.0815,0.376651,-0.079,0.391697
TTC24,0.7798,0.000296,0.325,0.072155
LEXM,-0.0626,0.73071,0.0263,0.888328
SLC35E2B,-0.8561,0.002716,-1.2635,8.2e-05
NHLH2,-1.9889,5.3e-05,-1.5118,0.000778
FPGT-TNNI3K,-0.3833,0.130613,-0.1785,0.471663
TSTD1,-0.9492,1e-06,-0.5027,0.001279
NTNG1,-0.721,0.212863,-0.721,0.212863
ECE1,0.4361,0.032728,0.4226,0.048424
FGGY,-1.0499,0.067444,-0.9251,0.103076
C1QC,1.1269,1e-06,0.7466,0.001734
SLC44A3,0.1173,0.641892,-0.0165,0.947961
TTC22,-0.7464,0.005129,-0.3391,0.142174
DEPDC1,0.9982,0.035149,0.9143,0.053173
PIK3R3,1.3039,0.048109,1.6707,0.016328
ELF3,1.3919,0.00356,1.2568,0.008077
SZRD1,0.154,0.054378,0.2233,0.009353
TMEM240,-0.6906,0.008303,-0.8074,0.003243
ZNF683,0.2703,0.224408,0.0595,0.777721
CCDC17,0.4006,0.195812,0.8038,0.01914
WDR26,-0.1862,0.232137,-0.368,0.031495
ABCD3,-0.691,0.002099,-0.4983,0.015793
ZBTB37,0.1245,0.604892,0.1736,0.473143
KIF17,-0.5258,0.215309,-0.6585,0.13037
HHAT,-0.7752,0.18487,-0.7191,0.215104
TTC13,1.0167,0.03064,0.904,0.052102
SLC50A1,-0.3516,0.1367,-0.0873,0.700794
ACKR1,-1.6639,4e-06,-0.6634,0.017941
C1orf194,0.0,nan,0.0,nan
RPTN,1.0709,0.073309,0.0598,0.913405
FCAMR,0.0,nan,0.0,nan
PPIAL4G,0.0393,0.055338,0.0653,0.050433
FAM72A,0.0,nan,0.0,nan
H3C13,0.0149,0.321537,0.04,0.047818
PARK7,-0.1099,0.3264,-0.0592,0.599426
CLDN19,-0.1931,0.252997,-0.1564,0.3611
ADSS2,-0.1605,0.418767,-0.0571,0.76953
PTGER3,-0.5972,0.002525,-0.6367,0.000421
HDGF,0.3761,0.004327,0.5633,0.000191
NOS1AP,0.2535,0.423659,-0.405,0.212329
TP73,-1.6839,0.020731,-1.4185,0.045494
TUFT1,-1.3244,0.0,-1.2084,0.0
CADM3,-3.504,1e-06,-2.4914,4.8e-05
CENPL,0.8143,0.002577,0.7105,0.009041
GFI1,0.2105,0.729746,-0.1938,0.751601
AURKAIP1,-0.1826,0.207851,-0.0933,0.512365
UBAP2L,0.578,0.003107,0.5354,0.004971
MAD2L2,0.5156,0.020286,0.5169,0.019527
MED18,-0.0208,0.8902,-0.0862,0.685033
RNF19B,0.852,3e-05,0.8168,0.000444
TSEN15,-0.1782,0.463802,0.0294,0.90042
MFN2,-0.3632,0.011325,-0.1416,0.259458
RHD,0.5117,0.280193,1.017,0.043655
PRG4,-0.5591,0.011867,-0.367,0.096087
HIVEP3,1.0223,0.001025,1.2684,0.000151
RWDD3,0.0811,0.899029,0.1265,0.842751
LCE6A,-1.7851,0.0,-1.3609,0.0
SHC1,0.6282,1.8e-05,0.6888,4e-06
CRYZ,-0.0487,0.937717,0.3841,0.539726
TTLL10,-0.0477,0.47203,-0.0545,0.406948
SLC44A5,-0.8003,0.049494,-0.8554,0.039958
MOV10,-0.2339,0.277843,0.0902,0.650087
SCNN1D,0.3804,0.280781,-0.2471,0.50302
SRP9,-0.434,0.093441,-0.2246,0.382497
RTCA,0.2467,0.046355,0.5286,0.000328
CATSPERE,-0.1055,0.759546,-0.3987,0.257518
ESRRG,-0.0994,0.371559,-0.0974,0.381242
CYB561D1,-0.8153,0.000684,-0.5598,0.028043
CDC7,0.9678,0.056762,0.9353,0.06577
DDAH1,0.0758,0.682453,0.0808,0.669839
LRRC8B,0.2778,0.362759,0.503,0.103659
LRRC8D,0.655,0.0017,0.7217,0.000781
GBP5,4.663,0.0,4.3303,0.0
HS2ST1,0.3511,0.031847,0.2152,0.193726
NFIA,-1.7298,0.0,-1.2971,0.0
C1orf94,0.012,0.321537,0.0,nan
OAZ3,1.0224,3.6e-05,0.8635,0.000304
IGSF9,-1.8113,0.0,-1.1262,2e-06
TAF12,0.0332,0.826539,0.0476,0.80245
MFAP2,0.0,nan,0.0,nan
PAX7,0.0085,0.321537,0.0632,0.248559
RBBP4,-0.6796,0.000625,-0.6309,0.001209
MKNK1,0.5751,0.007611,0.6921,0.002245
SLC2A5,2.6181,0.0,1.8418,1.7e-05
GDAP2,1.1285,1e-05,1.2938,2e-06
TGFB2,-0.9875,0.000342,-1.4319,7e-06
PIP5K1A,0.2884,0.213572,0.2863,0.217633
PABPC4,0.7208,0.003007,0.4458,0.038382
RAB29,0.7952,0.000396,0.8008,0.000373
