Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular response to vascular endothelial growth factor stimulus (GO:0035924),9/34,0.1331983626110758,0.4241004245747309,0,0,1.6767696231226976,3.3802263991195174,MAP2K3;ERN1;NRP1;FLT1;SPHK1;MAPKAPK2;MT1G;PGF;VEGFA
GO_Biological_Process_2021,positive regulation of protein dephosphorylation (GO:0035307),9/34,0.1331983626110758,0.4241004245747309,0,0,1.6767696231226976,3.3802263991195174,PPP1R15A;PPP1R15B;ANKLE2;TGFB1;CD300A;ITGA1;PRKCD;LILRB2;CALM1
GO_Biological_Process_2021,protein destabilization (GO:0031648),9/34,0.1331983626110758,0.4241004245747309,0,0,1.6767696231226976,3.3802263991195174,PRNP;FBXW11;PYHIN1;PLK1;CCDC88C;MDM2;EP300;BTRC;TRIM21
GO_Biological_Process_2021,protein localization to chromosome (GO:0034502),9/34,0.1331983626110758,0.4241004245747309,0,0,1.6767696231226976,3.3802263991195174,RB1;PARP3;SLF1;XRCC4;PLK1;TERF2IP;TPP1;WAPL;ATR
GO_Biological_Process_2021,regulation of amyloid-beta formation (GO:1902003),9/34,0.1331983626110758,0.4241004245747309,0,0,1.6767696231226976,3.3802263991195174,PRNP;ROCK1;IFNG;IFNGR1;CASP3;TNF;SORL1;ABCG1;PICALM
GO_Biological_Process_2021,cellular iron ion homeostasis (GO:0006879),14/58,0.1333566396827751,0.4243525337473834,0,0,1.4823805592818078,2.986593972538987,ATP6V1A;TFRC;SLC11A1;SLC11A2;ERFE;BMP6;HEPHL1;FTH1;HMOX1;ATP13A2;FBXL5;HAMP;HMOX2;FTL
GO_Biological_Process_2021,positive regulation of cellular biosynthetic process (GO:0031328),38/180,0.1342680871911981,0.4269995778190742,0,0,1.2478068410462777,2.505492352966244,LPGAT1;NNMT;CXCL8;DHX9;EIF4A3;PDGFB;NAT10;PTGS2;TNF;HIF1A;THBS1;CDH3;CLEC7A;CCL5;DUOXA2;LDLR;CTC1;EGR1;STARD4;EDN1;OPN3;ATAD5;LARP4B;LARP4;MMP8;EREG;IL6;ZEB2;P2RX4;IFNG;IL1B;APOC2;BCL3;CD28;DNA2;TLR6;CD244;PTPN2
GO_Biological_Process_2021,negative regulation of endopeptidase activity (GO:0010951),15/63,0.1347187928968772,0.4276723810010333,0,0,1.455967925063866,2.918583346309568,SERPINB3;SERPINB4;SERPINB1;SERPINA1;CR1;SERPINB2;SERPINB13;SERPINE2;SERPINE1;SERPINB9;SORL1;IFI16;SPOCK2;SERPINH1;LTF
GO_Biological_Process_2021,positive regulation of DNA metabolic process (GO:0051054),15/63,0.1347187928968772,0.4276723810010333,0,0,1.455967925063866,2.918583346309568,H2AX;OTUD4;PARP3;RTEL1;TIGAR;PPP1R10;DHX9;EYA3;PDGFB;BRCA1;PML;GNL3;SMCHD1;RAD51;UIMC1
GO_Biological_Process_2021,positive regulation of Ras protein signal transduction (GO:0046579),15/63,0.1347187928968772,0.4276723810010333,0,0,1.455967925063866,2.918583346309568,LRRC59;SHC1;GPR65;ERBIN;GPR4;RASGRP1;VAV1;RASGRP4;COL3A1;LPAR6;SHOC2;GRB2;GPR18;MAP4K4;F2RL3
