Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,dense core granule cytoskeletal transport (GO:0099519),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,KIF5B;TANC2;PPFIA2
GO_Biological_Process_2021,DNA ligation (GO:0006266),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,TOP2A;XRCC4;LIG4
GO_Biological_Process_2021,G-quadruplex DNA unwinding (GO:0044806),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,BLM;DHX9;DNA2
GO_Biological_Process_2021,ganglioside catabolic process (GO:0006689),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,NEU3;GM2A;HEXA
GO_Biological_Process_2021,glial cell migration (GO:0008347),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,P2RX4;CCL3;CCL2
GO_Biological_Process_2021,Golgi disassembly (GO:0090166),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,PLK3;CDK1;VRK1
GO_Biological_Process_2021,iron import into cell (GO:0033212),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,SLC11A2;SLC39A8;LTF
GO_Biological_Process_2021,lymphoid progenitor cell differentiation (GO:0002320),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,SPI1;LIG4;BATF
GO_Biological_Process_2021,miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,AGO3;ADAR;DICER1
GO_Biological_Process_2021,mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,VMP1;ATP2A2;CALM1
GO_Biological_Process_2021,negative regulation by host of viral genome replication (GO:0044828),3/7,0.1106570136415084,0.3722099549759829,0,0,3.491796322489392,7.686560482369834,CCNK;CCL8;ZC3H12A
