"exposure","nsnp","OR","lo","hi","ivw_p","egger_p","wm_p","Q","Q_p","egger_int_p"
"IBD",126,1.117,1.005,1.241,0.04,0.562,0.537,138.9,0.187,0.121
"CD_deLange",76,1.118,1.014,1.233,0.0255,0.874,0.504,94.76,0.0613,0.287
"UC_deLange",51,1.012,0.907,1.129,0.831,0.751,0.638,42.62,0.761,0.677
