"exposure","n_snp","raw_b","raw_se","raw_t","raw_p","global_RSSobs","global_P","outliers"
"CD",79,0.213176855902649,0.0826428103531949,2.57949669174589,0.0117735511979854,113.305903296382,0.01,"none detected"
"UC",52,-0.0204818654100926,0.0951523075770634,-0.215253480778745,0.830428199379763,60.0398552551778,0.256,"none detected"
