intervention,handset_NEUT_pct,handset_D_pct,calibrated_NEUT_pct,calibrated_D_pct,unc_median_D,unc_median_NEUT,unc_p2.5_D,unc_p2.5_NEUT,unc_p97.5_D,unc_p97.5_NEUT,q3_NEUT,q3_D,q7_NEUT,q7_D
CXCL8 KO,75.49974125943532,48.42070750976084,93.11748490188556,17.06320503898844,48.91,75.94,36.39,65.82,61.19,83.49,,,,
IL1B KO,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
TNF KO,28.23351904100998,10.702017462022528,7.108459978752157,0.1161319985639841,10.52,27.96,6.43,20.57,17.12,37.79,,,,
STAT3 KO,7.526271887425695,2.419390087606721,0.0979696915146322,0.0015483551990991,2.42,7.54,1.42,4.87,4.18,11.23,,,,
JAK2 inhibition,5.699758185555948,1.8080090241995528,0.059107575747519,0.0009367587804343,1.8,5.68,1.08,3.71,3.09,8.3,,,,
