combination,NEUT_observed,D_observed,NEUT_bliss_expected,NEUT_delta_vs_bliss,D_bliss_expected,D_delta_vs_bliss
CXCL8+IL1B,100.0,100.0,100.0,0.0,100.0,0.0
CXCL8+TNF,100.0,100.0,82.41702647604937,17.582973523950628,53.94073239885391,46.05926760114609
IL1B+TNF,100.0,100.0,99.99999999999999,1.4210854715202004e-14,100.0,0.0
CXCL8+STAT3,75.49974121718867,48.420706834045504,77.343697345373,-1.843956128184331,49.66861179952736,-1.2479049654818581
IL1B+JAK2i,100.0,100.0,100.0,0.0,100.0,0.0
CXCL8+JAK2i,75.49974119535841,48.420706500598065,76.89619676248304,-1.396455567124633,49.35326577260265,-0.9325592720045819
