target,remaining_fraction,NEUT,D
CXCL8,0.0,75.49974125943532,48.42070750976084
CXCL8,0.1,56.2922451208627,28.178852938082777
CXCL8,0.2,42.745156656823745,18.529230207080094
CXCL8,0.3,32.651773481526966,12.86872597620543
CXCL8,0.4,24.835467851306838,9.14510292074705
CXCL8,0.5,18.60221169476004,6.508837117412803
CXCL8,0.6,13.514707998300535,4.544101724760353
CXCL8,0.7,9.28338039309622,3.0232074724034885
CXCL8,0.8,5.708747608921327,1.8109782332772162
CXCL8,0.9,2.648874300079762,0.8220836992888003
CXCL8,1.0,0.0,0.0
IL1B,0.0,100.0,100.0
IL1B,0.1,9.319394347123833,3.035763824392823
IL1B,0.2,6.2408767040261,1.9874502645627845
IL1B,0.3,4.377389033699464,1.3753784002760505
IL1B,0.4,3.1301277538747896,0.9747683790013228
IL1B,0.5,2.237320475604343,0.6923408993577906
IL1B,0.6,1.5668415596167273,0.4825749217325703
IL1B,0.7,1.0449052346218846,0.32064604782823247
IL1B,0.8,0.6270988279669987,0.19187374297057191
IL1B,0.9,0.28510018968102013,0.0870241869095345
IL1B,1.0,0.0,0.0
TNF,0.0,28.23351904100998,10.702017462022528
TNF,0.1,22.24819029820022,8.018028961788847
TNF,0.2,17.50109746007262,6.070177419824274
TNF,0.3,13.696718158521094,4.611741319634344
TNF,0.4,10.60244097969627,3.4869605406334103
TNF,0.5,8.047195989124688,2.596771939893461
TNF,0.6,5.906891195838915,1.8765275199713716
TNF,0.7,4.091008052201984,1.2827585279135079
TNF,0.8,2.532672995554963,0.7853742610737013
TNF,0.9,1.1817338154576862,0.36298113433115287
TNF,1.0,0.0,0.0
STAT3,0.0,7.526271887425695,2.419390087606721
STAT3,0.1,5.69975818555597,1.8080090241995639
STAT3,0.2,4.405706043639313,1.3845525186394703
STAT3,0.3,3.424834405680155,1.0687800808198422
STAT3,0.4,2.6480332530729678,0.8218181577117623
STAT3,0.5,2.0134991337795727,0.6220938130434894
STAT3,0.6,1.4830385925417966,0.4564934363144646
STAT3,0.7,1.0315165832288642,0.3165068028447515
STAT3,0.8,0.6415833828254058,0.19632510011902138
STAT3,0.9,0.30080581275623297,0.09182813779982091
STAT3,1.0,0.0,0.0
JAK2,0.0,7.526271887425695,2.419390087606721
JAK2,0.1,5.699758185555948,1.8080090241995528
JAK2,0.2,4.405706043639313,1.3845525186396812
JAK2,0.3,3.424834405680266,1.0687800808218295
JAK2,0.4,2.6480332530729345,0.8218181577118844
JAK2,0.5,2.0134991337795727,0.6220938130434894
JAK2,0.6,1.4830385925417744,0.45649343631413153
JAK2,0.7,1.031516583228842,0.3165068028456397
JAK2,0.8,0.641583382825428,0.19632510011904358
JAK2,0.9,0.3008058127562552,0.09182813779972099
JAK2,1.0,0.0,0.0
