exposure,outcome,n_SNP,raw_b,raw_se,raw_t,raw_P,global_RSSobs,global_P,outliers,permutations,random_seed
CD,PG (FinnGen R5),79,0.213176855902649,0.0826428103531949,2.57949669174589,0.0117735511979854,113.305903296382,0.01,none detected,1000,20260814
UC,PG (FinnGen R5),52,-0.0204818654100926,0.0951523075770634,-0.215253480778745,0.830428199379763,60.0398552551778,0.256,none detected,1000,20260814
CD,PG (FinnGen R12),76,0.1115871,0.04996063,2.2335,0.02849758,97.39611,0.065,none detected,1000,not recorded
UC,PG (FinnGen R12),51,0.01195645,0.0517261,0.2311492,0.8181422,44.5252,0.768,none detected,1000,not recorded
